ID	Name (ext)	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
1	B5819W_C8598  (mod)	D25,D24,D22,D6,D9,D20,D3,D39,D4,D7,D8,D10,D11,D14,D15,D16,D17,D18,D19	SOD-123_L2.8-W1.8-LS3.7-RD	19	B5819W SL	Changjiang Electronics Tech (CJ)	LCSC	C8598	0.044
2	1uF 50V (mod)	C8,C3,C54,C69,C70,C79,C80,C14,C36,C42	C0603	10	CL10A105KB8NNNC	Samsung Electro-Mechanics	LCSC	C15849	0.004
3	100nF 50V (mod)	C20,C55,C56,C78,C11,C5,C27,C1,C9,C33,C41,C24,C25	C0603	13	CC0603KRX7R9BB104	YAGEO	LCSC	C14663	0.01
4	10K  (mod)	R78,R79,R18,R53,R54,R61,R109,R113,R114,R10,R3,R63,R65,R74,R80,R96,R27,R30,R84,R8,R5,R13,R48,R44,R22,R35,R45,R47,R70	R0603	29	0603WAF1002T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C25804	0.001
5	1K  (mod)	R14,R211,R89,R106,R107,R108,R9,R59,R52,R31,R32,R34,R39,R49,R50,R64,R87,R88,R90,R91,R101,R103,R104,R105,R36,R23,R17,R15,R11,R12,R20,R21,R57,R58,R83	R0603	35	0603WAF1001T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C21190	0.001
6	CH340B (ext)	U22	SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL	1	CH340B	WCH	LCSC	C81010	
8	BC846AMTF  (mod)	Q4,Q18,Q21,Q24	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	4	MMBT2222A 1P	Changjiang Electronics Tech (CJ)	LCSC	C8512	
9	ZMM3V3	D27	LL-34_L3.5-W1.5-RD	1	ZMM3V3	SEMTECH	LCSC	C8056	0.019
10	10  (mod)	R26,R98,C24,C25	R0603	4	0603WAF100JT5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C22859	
12	1.8K  (mod)	R60,R68,R24,R29,R258	R0603	5	0603WAF1801T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C4177	
13	BZT52C18_C266571 (ext)	D21,D28	SOD-123_L2.8-W1.8-LS3.7-RD	2	BZT52C18	Bourne Semicon (Shenzhen)	LCSC	C266571	
14	2N7002  (mod)	Q11,Q5,Q3,Q14,Q15	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	5	2N7002	Changjiang Electronics Tech (CJ)	LCSC	C8545	0.023
20	22pF 50V (mod)	C81,C82	C0603	2	CL10C220JB8NNNC	Samsung Electro-Mechanics	LCSC	C1653	
21	AMS1117-3.3	U4	SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR	1	AMS1117-3.3	AMS	LCSC	C6186	
22	white  (mod)	3V3,5V,12V	LED0603-R-RD	3	C2290	Hubei KENTO Elec	LCSC	C2290	
29	SS34_C8678	D2	DO-214AC_L4.3-W2.7-LS5.3-RD	1	SS34	MDD	LCSC	C8678	0.053
33	180uF (ext)	C15,C16,C12,C13,C6,C7	CAP-SMD_BD8.0-L8.3-W8.3-RD	6	OVZ181M1DTR-0807	Lelon	LCSC	C384618	0.389
35	ZMM5V6	D12,D13,D26	LL-34_L3.5-W1.5-RD	3	ZMM5V6	SEMTECH	LCSC	C8062	0.016
44	green  (mod)	RXD2,ACT,SCTRL,STEER,RXD1,RXD3	LED0603-RD	6	19-217/GHC-YR1S2/3T	Everlight Elec	LCSC	C72043	0.015
45	blue  (mod)	TXD2,GNSS,PORT,TXD1,TXD3	LED0603-RD	5	19-217/BHC-ZL1M2RY/3T	Everlight Elec	LCSC	C72041	0.015
50	5.1K  (mod)	R6,R43,R46	R0603	3	0603WAF5101T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C23186	0.001
51	2.2k  (mod)	R25	R0603	1	0603WAF2201T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C4190	0.001
53	yellow  (mod)	STEERINP,M1	LED0603-RD	2	19-213/Y2C-CQ2R2L/3T(CY)	Everlight Elec	LCSC	C72038	0.019
54	orange (ext)	WORKINP,OUT1,M2,M3,WAS3	LED0603-RD	5	FC-D1608HOK-600H	NATIONSTAR	LCSC	C84269	0.014
56	10uF 50V (mod)	C30	C1206	1	CL31A106KBHNNNE	Samsung Electro-Mechanics	LCSC	C13585	0.109
57	33pF 50V (mod)	C22,C23	C0603	2	CL10C330JB8NNNC	Samsung Electro-Mechanics	LCSC	C1663	
58	10uF 25V (mod)	C28,C29,C31	C0805	3	CL21A106KAYNNNE	Samsung Electro-Mechanics	LCSC	C15850	
59	10uF 25V (mod)	C65,C66,C67	C0805	3	CL21A106KAYNNNE	Samsung Electro-Mechanics	LCSC	C15850	0.011
60	MMBT5401-C8326	Q19,Q20,Q22,Q23,Q1,Q2,Q6	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	7	MMBT5401	CJ	LCSC	C8326	0.017
61	1K  (mod)	R7,R16,R33	R1206	3	1206W4F1001T5	UNI-ROYAL(Uniroyal Elec)	LCSC	C4410	
63	1K  (mod)	R75,R76,R77,R37,R38,R56,R66,R67,R28	R0603	9	0603WAF1001T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C21190	0.001
64	2.7k  (mod)	R81	R0603	1	0603WAF2701T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C13167	
