ID	Name (ext)	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
1	1K  (mod)	R39,R31,R32,R37,R38,R56,R66,R67,R78,R89	R0603	10	0603WAF1001T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C21190	
2	74AHC1G08SE-7 (ext)	U902	SOT-25_L3.0-W1.6-P0.95-LS2.8-BL	1	74AHC1G08SE-7	Diodes Incorporated	LCSC	C459531	
3	MMBT5401-C8326	Q900,Q1,Q2,Q6	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	4	MMBT5401	CJ	LCSC	C8326	
4	1K  (mod)	R903,R36,R801,R900,R901,R902,R124,R129,R16,R23,R200,R201,R202,R203,R17,R9,R15,R26,R11,R12,R20,R21,R57,R58,R59	R0603	25	0603WAF1001T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C21190	
5	10K  (mod)	R904,R800,R300,R301,R10,R22,R27,R29,R30,R84,R7,R8,R5,R13,R48,R79,R44	R0603	17	0603WAF1002T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C25804	
6	2N7002  (mod)	Q807,Q808,Q9,Q12,Q5,Q11,Q3,Q4	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	8	2N7002	Changjiang Electronics Tech (CJ)	LCSC	C8545	
7	47  (mod)	R802,R803,R107,R108,R116,R117	R0603	6	0603WAF470JT5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C23182	
8	LM393DR2G	U800	SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL	1	LM393DR2G	ON	LCSC	C7955	
9	white  (mod)	12V,5V	LED0603-R-RD	2	C2290	Hubei KENTO Elec	LCSC	C2290	
10	12K  (mod)	R126,R109	R0603	2	0603WAF1202T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C22790	
11	91K  (mod)	R130,R302,R303,R123,R127,R103,R104	R0603	7	0603WAF9102T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C23265	
12	5.1K  (mod)	R33,R34,R2,R3,R4,R6,R14	R0603	7	0603WAF5101T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C23186	
13	A2005WV-2X3P (ext)	BYNAVETH	HDR-TH_6P-P2.00-V-R2-C3-S2.00	1	A2005WV-2x3P	Changjiang Connectors	LCSC	C225288	
14	A2541WV-5P (ext)	H9,H3,H2,H4,H5,H11,H12	HDR-TH_5P-P2.54-V	7	A2541WV-5P	Changjiang Connectors	LCSC	C225480	
15	M12A 5pole female (ext)	INPUTS,STEERING	M12-A FEMALE 4-5POLE 90°	2		Binder, Escha	Digi-Key		
16	TESTPOINT (ext)	CC1,CC2,VBUS	TESTPOINT_63	3					
17	M8 4pole female (ext)	CAN,IMU,RS485,WAS/CAN	M8 FEMALE 4POLE 90°	4		Binder, Escha	Digi-Key		
18	M12A 5pole male (ext)	POWER	M12-A MALE 4-5POLE 90°	1		Binder, Escha	Digi-Key		
19	QWIIC SMD JST (ext)	QWIIC	QWIIC CONNECTOR	1	SM04B-SRSS-TB(LF)(SN)	JST Sales America	LCSC	C160404	
20	MP1584EN (ext)	U901	MP1584EN	1					
21	22uF 25V (mod)	C900,C300	C0805	2	CL21A226MAQNNNE	Samsung Electro-Mechanics	LCSC	C45783	
22	green  (mod)	DIFF,ANT1,ANT2,RX485,RXCAN1,RXCAN2,RXCAN3	LED0603-RD	7	19-217/GHC-YR1S2/3T	Everlight Elec	LCSC	C72043	
23	Ardfruit BNO085 (ext)	U3	ADAFRUIT-BNO085	1		Ardfruit			
24	180uF (ext)	C15,C16,C12,C13,C101,C6,C7,C100,C121,C122	CAP-SMD_BD8.0-L8.3-W8.3-RD	10	OVZ181M1DTR-0807	Lelon	LCSC	C384618	
25	100pF 50V (mod)	C17,C18,C103,C105,C112,C123,C124	C0603	7	CL10C101JB8NNNC	Samsung Electro-Mechanics	LCSC	C14858	
26	EL357N(B)(TA)-G	U1	OPTO-SMD-4_L4.4-W4.1-P2.54-LS7.0-TL	1	EL357N(B)(TA)-G	EVERLIGHT	LCSC	C6649	
27	SED4060G (ext)	Q7,Q8,Q10,Q104,Q105,Q100,Q101,Q102,Q103	POWERVDFN-8_L6.0-W5.0-P1.27-BL	9	SED4060G	SINO-IC	LCSC	C238671	
28	100nF 50V (mod)	C8,C10,C128,C129,C102,C104,C108,C109,C111	C0603	9	CC0603KRX7R9BB104	YAGEO	LCSC	C14663	
29	100nF 50V (mod)	C11,C3,C5,C27,C4,C1,C9,C33,C41,C43,C45	C0603	11	CC0603KRX7R9BB104	YAGEO	LCSC	C14663	
30	10uF 25V (mod)	C125,C113,C114,C115,C116,C117,C118,C119,C120	C0805	9	CL21A106KAYNNNE	Samsung Electro-Mechanics	LCSC	C15850	
31	22nF 50V (mod)	C126,C127,C106	C0603	3	CL10B223KB8NNNC	Samsung Electro-Mechanics	LCSC	C21122	
32	SMCJ15CA (ext)	D29	SMC_L6.9-W5.9-LS7.9-BI	1	SMCJ15CA	Brightking Elec (TAIWAN)	LCSC	C310017	
33	B5819W_C8598  (mod)	D105,D106,D107,D108,D3,D4,D7,D8,D9,D10,D11,D14,D15,D16,D17,D18,D19,D20,D21,D22,D23,D24,D25,D26,D27,D39,D100,D103,D104	SOD-123_L2.8-W1.8-LS3.7-RD	29	B5819W SL	Changjiang Electronics Tech (CJ)	LCSC	C8598	
34	750  (mod)	R19,R128,R125	R1206	3	1206W4F7500T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C17985	
35	10K  (mod)	R122,R304	R0603	2	0603WAF1002T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C25804	
36	10k  (mod)	R18,R28,R53,R54,R55,R61,R62	R1206	7	1206W4F1002T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C17902	
37	BTS50301EJAXUMA1 (ext)	U2,U14	PG-DSO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP	2	BTS50301EJAXUMA1	Infineon Technologies	LCSC	C454924	
38	A2541WV-4P (ext)	H8	HDR-TH_4P-P2.54-V	1	A2541WV-4P	Changjiang Connectors	LCSC	C225479	
39	yellow  (mod)	IN2,IN3,LED200,M1	LED0603-RD	4	19-213/Y2C-CQ2R2L/3T(CY)	Everlight Elec	LCSC	C72038	
40	RTH06R010FTP (ext)	R121,R120	R1206	2	RTH06R010FTP	RALEC	LCSC	C525707	
41	BTN8982TAA (ext)	U10	TO-263-7_L10.2-W10.4-P1.27-LS14.4-B	1	BTN8982TAAUMA1	Infineon	LCSC	C74175	
