ID	Name (ext)	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
1	A2541WV-2P (ext)	REL,USBOFF,RS485,ON1,ON2	HDR-TH_P2.54-H-M_A2541WV-2P	5	A2541WV-2P	CJT(Changjiang Connectors)	LCSC	C225477	0.032
2	WJ250B-3.50-4P (ext)	SPEED,SENS1,SENS2,US1,US2,US3	CONN-TH_4P-P3.50_WJ250B-3.50-4P	6	WJ250B-3.50-4P	ReliaPro	LCSC	C8455	0.145
3	WJ142V-5.08-02P-14-00A (ext)	SECTION0.,SECTION1.,POWERIN,PRESSURE,SLOPE,SECTION2.,SECTION3.,SECTION4.,SECTION5.,SECTION6.,SECTION7.,VALVEMAIN	CONN-TH_2P-P5.08_WJ142V-5.08-2P	12	WJ142V-5.08-02P-14-00A	Ningbo Kangnex Elec	LCSC	C153288	0.145
4	A2541WV-5P (ext)	CN3	HDR-TH_5P-P2.54-V	1	A2541WV-5P	Changjiang Connectors	LCSC	C225480	0.081
5	A2541WV-2X4P (ext)	H10	HDR-TH_8P-P2.54-V-R2-C4-S2.54_A2541WV-2X4P	1	A2541WV-2x4P	Changjiang Connectors	LCSC	C225519	0.129
6	JUMPER (ext)	JP7,JP8	1X03	2					
7	A2541WV-7P (ext)	PRGBOOT	HDR-TH_7P-P2.54-V-M	1	A2541WV-7P	Changjiang Connectors	LCSC	C225482	0.11
8	HF115F/012-2ZS4AF (ext)	REL1,REL2,REL3,REL4,REL5,REL6,REL7,REL8,REL9,REL10,REL11,REL12,REL13	RELAY-TH_HF115F-XXX-2XX4XX	13	HF115F/012-2ZS4AF	HF(Xiamen Hongfa Electroacoustic)	LCSC	C882372	1.579
9	SMCJ33CA (ext)	D16	SMC_L6.9-W5.9-LS7.9-BI	1	SMCJ33CA	Brightking Elec (TAIWAN)	LCSC	C310048	0.129
10	22uF 25V (mod)	C250,C14,C15,C17	C0805	4	CL21A226MAQNNNE	Samsung Electro-Mechanics	LCSC	C45783	
